Industries,State,YEARS,SCORE,INSPECTION DATE
Other Manufacturing,Northland,2002,,9/10/2019
Other Manufacturing,Northland,2003,,6/7/2019
Other Manufacturing,Northland,2004,,2/15/2018
Other Manufacturing,Northland,2005,,8/16/2019
Other Manufacturing,Northland,2006,,10/23/2019
Other Manufacturing,Northland,2007,,12/21/2017
Other Manufacturing,Northland,2008,,10/15/2019
Other Manufacturing,Northland,2009,,5/18/2017
Other Manufacturing,Northland,2010,,8/27/2018
Other Manufacturing,Northland,2011,,7/25/2018
Other Manufacturing,Northland,2012,,4/17/2019
Other Manufacturing,Northland,2013,,1/1/1900
Other Manufacturing,Northland,2014,,3/5/2019
Other Manufacturing,Northland,2015,,1/7/2016
Other Manufacturing,Northland,2016,,5/30/2018
Other Manufacturing,Northland,2017,,6/18/2019
Manufacturing,Northland,2000,410,7/8/2019
Manufacturing,Northland,2001,464,11/1/2017
Manufacturing,Northland,2002,506,9/14/2017
Manufacturing,Northland,2003,490,4/24/2019
Manufacturing,Northland,2004,491,3/25/2019
Manufacturing,Northland,2005,611,8/18/2017
Manufacturing,Northland,2006,797,10/13/2017
Manufacturing,Northland,2007,843,5/7/2019
Manufacturing,Northland,2008,726,12/3/2019
Manufacturing,Northland,2009,860,4/17/2019
Manufacturing,Northland,2010,516,3/5/2019
Manufacturing,Northland,2011,622,2/27/2017
Manufacturing,Northland,2012,634,4/17/2018
Manufacturing,Northland,2013,561,5/3/2019
Manufacturing,Northland,2014,584,7/22/2019
Manufacturing,Northland,2015,789,3/8/2018
Manufacturing,Northland,2016,963,11/14/2017
Manufacturing,Northland,2017,792,7/10/2019
"Electricity, Gas, Water, and Waste services",Northland,2000,48,7/1/2019
"Electricity, Gas, Water, and Waste services",Northland,2001,54,10/23/2019
"Electricity, Gas, Water, and Waste services",Northland,2002,44,11/20/2018
"Electricity, Gas, Water, and Waste services",Northland,2003,52,6/19/2019
"Electricity, Gas, Water, and Waste services",Northland,2004,62,2/16/2018
"Electricity, Gas, Water, and Waste services",Northland,2005,68,10/4/2018
"Electricity, Gas, Water, and Waste services",Northland,2006,76,2/19/2019
"Electricity, Gas, Water, and Waste services",Northland,2007,94,4/2/2019
"Electricity, Gas, Water, and Waste services",Northland,2008,107,4/19/2018
"Electricity, Gas, Water, and Waste services",Northland,2009,116,1/23/2018
"Electricity, Gas, Water, and Waste services",Northland,2010,111,4/6/2016
"Electricity, Gas, Water, and Waste services",Northland,2011,141,5/15/2018
"Electricity, Gas, Water, and Waste services",Northland,2012,152,5/10/2018
"Electricity, Gas, Water, and Waste services",Northland,2013,170,3/20/2017
"Electricity, Gas, Water, and Waste services",Northland,2014,174,2/28/2019
"Electricity, Gas, Water, and Waste services",Northland,2015,168,10/19/2018
"Electricity, Gas, Water, and Waste services",Northland,2016,173,3/30/2017
"Electricity, Gas, Water, and Waste services",Northland,2017,187,7/26/2019
Construction,Northland,2000,150,11/17/2017
Construction,Northland,2001,150,4/25/2017
Construction,Northland,2002,159,9/24/2019
Construction,Northland,2003,180,8/30/2019
Construction,Northland,2004,209,5/21/2019
Construction,Northland,2005,277,1/30/2019
Construction,Northland,2006,259,9/19/2019
Construction,Northland,2007,307,8/17/2018
Construction,Northland,2008,347,7/17/2019
Construction,Northland,2009,331,5/20/2019
Construction,Northland,2010,320,12/22/2016
Construction,Northland,2011,297,11/4/2019
Construction,Northland,2012,284,12/14/2017
Construction,Northland,2013,298,10/31/2017
Construction,Northland,2014,321,9/12/2016
Construction,Northland,2015,338,1/1/1900
Construction,Northland,2016,364,9/1/2016
Construction,Northland,2017,447,2/1/2018
Wholesale Trade,Northland,2000,76,2/26/2018
Wholesale Trade,Northland,2001,108,10/30/2018
Wholesale Trade,Northland,2002,128,11/21/2019
Wholesale Trade,Northland,2003,74,3/30/2017
Wholesale Trade,Northland,2004,99,6/22/2017
Wholesale Trade,Northland,2005,93,3/30/2017
Wholesale Trade,Northland,2006,95,2/25/2017
Wholesale Trade,Northland,2007,113,2/28/2017
Wholesale Trade,Northland,2008,119,1/2/2019
Wholesale Trade,Northland,2009,124,3/17/2017
Wholesale Trade,Northland,2010,124,6/13/2019
Wholesale Trade,Northland,2011,119,9/11/2019
Wholesale Trade,Northland,2012,138,2/22/2018
Wholesale Trade,Northland,2013,121,1/17/2019
Wholesale Trade,Northland,2014,142,9/27/2016
Wholesale Trade,Northland,2015,145,9/30/2019
Wholesale Trade,Northland,2016,179,10/9/2018
Wholesale Trade,Northland,2017,166,10/4/2018
Retail Trade,Northland,2000,149,8/29/2019
Retail Trade,Northland,2001,156,4/25/2019
Retail Trade,Northland,2002,178,10/11/2018
Retail Trade,Northland,2003,198,6/19/2018
Retail Trade,Northland,2004,214,8/5/2016
Retail Trade,Northland,2005,221,8/30/2017
Retail Trade,Northland,2006,235,7/1/2019
Retail Trade,Northland,2007,255,4/5/2018
Retail Trade,Northland,2008,265,3/5/2018
Retail Trade,Northland,2009,255,8/14/2017
Retail Trade,Northland,2010,263,2/3/2017
Retail Trade,Northland,2011,255,11/14/2016
Retail Trade,Northland,2012,266,10/26/2016
Retail Trade,Northland,2013,280,9/5/2017
Retail Trade,Northland,2014,305,1/11/2018
Retail Trade,Northland,2015,316,10/5/2018
Retail Trade,Northland,2016,328,5/13/2019
Retail Trade,Northland,2017,385,11/20/2018
Accommodation,Northland,2000,18,10/5/2018
Accommodation,Northland,2001,22,12/14/2016
Accommodation,Northland,2002,25,3/20/2017
Accommodation,Northland,2003,25,1/27/2017
Accommodation,Northland,2004,29,12/17/2018
Accommodation,Northland,2005,32,9/24/2019
Accommodation,Northland,2006,33,9/10/2018
Accommodation,Northland,2007,49,5/20/2019
Accommodation,Northland,2008,56,2/19/2019
Accommodation,Northland,2009,45,12/5/2019
Accommodation,Northland,2010,47,3/13/2018
Accommodation,Northland,2011,44,3/29/2019
Accommodation,Northland,2012,40,10/25/2018
Accommodation,Northland,2013,37,10/25/2017
Accommodation,Northland,2014,40,3/15/2018
Accommodation,Northland,2015,42,7/12/2016
Accommodation,Northland,2016,44,10/28/2019
Accommodation,Northland,2017,54,12/2/2016
Food and beverage services,Northland,2000,35,6/19/2018
Food and beverage services,Northland,2001,41,8/29/2018
Food and beverage services,Northland,2002,46,10/1/2018
Food and beverage services,Northland,2003,47,6/13/2019
Food and beverage services,Northland,2004,54,12/11/2016
Food and beverage services,Northland,2005,60,2/25/2019
Food and beverage services,Northland,2006,65,11/19/2019
Food and beverage services,Northland,2007,61,10/10/2019
Food and beverage services,Northland,2008,63,10/27/2017
Food and beverage services,Northland,2009,57,8/22/2018
Food and beverage services,Northland,2010,63,2/2/2017
Food and beverage services,Northland,2011,63,8/13/2018
Food and beverage services,Northland,2012,65,5/30/2018
Food and beverage services,Northland,2013,64,9/28/2018
Food and beverage services,Northland,2014,66,3/7/2019
Food and beverage services,Northland,2015,77,2/27/2018
Food and beverage services,Northland,2016,80,3/28/2017
Food and beverage services,Northland,2017,97,11/29/2019
"Transport, Postal and Warehousing",Northland,2000,140,5/17/2018
"Transport, Postal and Warehousing",Northland,2001,131,1/22/2019
"Transport, Postal and Warehousing",Northland,2002,140,10/21/2019
"Transport, Postal and Warehousing",Northland,2003,158,4/29/2019
"Transport, Postal and Warehousing",Northland,2004,184,10/26/2017
"Transport, Postal and Warehousing",Northland,2005,193,7/23/2019
"Transport, Postal and Warehousing",Northland,2006,188,4/25/2018
"Transport, Postal and Warehousing",Northland,2007,169,12/8/2017
"Transport, Postal and Warehousing",Northland,2008,177,11/12/2019
"Transport, Postal and Warehousing",Northland,2009,186,8/2/2019
"Transport, Postal and Warehousing",Northland,2010,191,11/13/2019
"Transport, Postal and Warehousing",Northland,2011,207,10/10/2019
"Transport, Postal and Warehousing",Northland,2012,206,2/12/2019
"Transport, Postal and Warehousing",Northland,2013,221,10/3/2019
"Transport, Postal and Warehousing",Northland,2014,226,1/29/2018
"Transport, Postal and Warehousing",Northland,2015,259,8/7/2018
"Transport, Postal and Warehousing",Northland,2016,259,8/23/2018
"Transport, Postal and Warehousing",Northland,2017,279,11/16/2018
"Information Media, Telecommunications and Other Services",Northland,2000,109,4/25/2018
"Information Media, Telecommunications and Other Services",Northland,2001,113,3/6/2018
"Information Media, Telecommunications and Other Services",Northland,2002,126,1/7/2019
"Information Media, Telecommunications and Other Services",Northland,2003,138,8/14/2019
"Information Media, Telecommunications and Other Services",Northland,2004,145,3/15/2018
"Information Media, Telecommunications and Other Services",Northland,2005,157,2/22/2017
"Information Media, Telecommunications and Other Services",Northland,2006,176,6/20/2018
"Information Media, Telecommunications and Other Services",Northland,2007,146,3/2/2017
"Information Media, Telecommunications and Other Services",Northland,2008,150,2/16/2018
"Information Media, Telecommunications and Other Services",Northland,2009,166,3/8/2017
"Information Media, Telecommunications and Other Services",Northland,2010,182,4/27/2017
"Information Media, Telecommunications and Other Services",Northland,2011,189,12/30/2016
"Information Media, Telecommunications and Other Services",Northland,2012,192,9/26/2016
"Information Media, Telecommunications and Other Services",Northland,2013,184,7/15/2019
"Information Media, Telecommunications and Other Services",Northland,2014,210,3/16/2017
"Information Media, Telecommunications and Other Services",Northland,2015,215,5/24/2018
"Information Media, Telecommunications and Other Services",Northland,2016,225,6/3/2019
"Information Media, Telecommunications and Other Services",Northland,2017,244,2/24/2017
Financial and Insurance Services,Northland,2000,61,3/21/2019
Financial and Insurance Services,Northland,2001,64,3/20/2019
Financial and Insurance Services,Northland,2002,65,5/9/2018
Financial and Insurance Services,Northland,2003,72,5/9/2016
Financial and Insurance Services,Northland,2004,86,7/24/2019
Financial and Insurance Services,Northland,2005,96,12/30/2019
Financial and Insurance Services,Northland,2006,99,7/27/2017
Financial and Insurance Services,Northland,2007,89,10/3/2018
Financial and Insurance Services,Northland,2008,95,11/21/2018
Financial and Insurance Services,Northland,2009,109,4/3/2018
Financial and Insurance Services,Northland,2010,140,1/18/2017
Financial and Insurance Services,Northland,2011,127,12/26/2019
Financial and Insurance Services,Northland,2012,128,5/2/2018
Financial and Insurance Services,Northland,2013,126,6/15/2017
Financial and Insurance Services,Northland,2014,170,4/24/2017
Financial and Insurance Services,Northland,2015,187,6/27/2018
Financial and Insurance Services,Northland,2016,171,6/13/2019
Financial and Insurance Services,Northland,2017,161,12/6/2016
"Rental, Hiring and Real Estate Services",Northland,2000,173,7/17/2019
"Rental, Hiring and Real Estate Services",Northland,2001,184,8/11/2016
"Rental, Hiring and Real Estate Services",Northland,2002,186,4/19/2018
"Rental, Hiring and Real Estate Services",Northland,2003,206,10/15/2018
"Rental, Hiring and Real Estate Services",Northland,2004,241,12/6/2017
"Rental, Hiring and Real Estate Services",Northland,2005,285,7/2/2018
"Rental, Hiring and Real Estate Services",Northland,2006,304,2/11/2017
"Rental, Hiring and Real Estate Services",Northland,2007,318,4/5/2018
"Rental, Hiring and Real Estate Services",Northland,2008,344,1/20/2017
"Rental, Hiring and Real Estate Services",Northland,2009,393,10/18/2017
"Rental, Hiring and Real Estate Services",Northland,2010,433,9/27/2018
"Rental, Hiring and Real Estate Services",Northland,2011,418,7/13/2018
"Rental, Hiring and Real Estate Services",Northland,2012,424,11/7/2019
"Rental, Hiring and Real Estate Services",Northland,2013,429,9/10/2018
"Rental, Hiring and Real Estate Services",Northland,2014,473,1/1/1900
"Rental, Hiring and Real Estate Services",Northland,2015,457,10/23/2019
"Rental, Hiring and Real Estate Services",Northland,2016,511,11/8/2019
"Rental, Hiring and Real Estate Services",Northland,2017,598,12/11/2019
Owner-Occupied Property Operation,Northland,2000,286,6/26/2018
Owner-Occupied Property Operation,Northland,2001,288,6/13/2018
Owner-Occupied Property Operation,Northland,2002,293,2/14/2019
Owner-Occupied Property Operation,Northland,2003,294,11/24/2018
Owner-Occupied Property Operation,Northland,2004,313,1/3/2018
Owner-Occupied Property Operation,Northland,2005,347,9/26/2018
Owner-Occupied Property Operation,Northland,2006,390,9/13/2016
Owner-Occupied Property Operation,Northland,2007,431,7/25/2019
Owner-Occupied Property Operation,Northland,2008,460,7/10/2019
Owner-Occupied Property Operation,Northland,2009,463,2/13/2019
Owner-Occupied Property Operation,Northland,2010,428,6/11/2019
Owner-Occupied Property Operation,Northland,2011,464,7/22/2019
Owner-Occupied Property Operation,Northland,2012,496,8/15/2017
Owner-Occupied Property Operation,Northland,2013,520,7/8/2019
Owner-Occupied Property Operation,Northland,2014,530,12/28/2017
Owner-Occupied Property Operation,Northland,2015,537,1/18/2018
Owner-Occupied Property Operation,Northland,2016,570,1/31/2019
Owner-Occupied Property Operation,Northland,2017,607,8/6/2019
"Professional, Scientific, and Technical Services",Northland,2000,96,7/14/2018
"Professional, Scientific, and Technical Services",Northland,2001,100,11/10/2016
"Professional, Scientific, and Technical Services",Northland,2002,111,10/26/2017
"Professional, Scientific, and Technical Services",Northland,2003,125,8/13/2019
"Professional, Scientific, and Technical Services",Northland,2004,121,4/18/2017
"Professional, Scientific, and Technical Services",Northland,2005,127,4/17/2019
"Professional, Scientific, and Technical Services",Northland,2006,141,9/24/2018
"Professional, Scientific, and Technical Services",Northland,2007,192,4/3/2019
"Professional, Scientific, and Technical Services",Northland,2008,222,5/5/2017
"Professional, Scientific, and Technical Services",Northland,2009,226,5/2/2018
"Professional, Scientific, and Technical Services",Northland,2010,206,7/29/2019
"Professional, Scientific, and Technical Services",Northland,2011,200,5/12/2016
"Professional, Scientific, and Technical Services",Northland,2012,199,6/9/2016
"Professional, Scientific, and Technical Services",Northland,2013,188,6/20/2017
"Professional, Scientific, and Technical Services",Northland,2014,208,4/10/2018
"Professional, Scientific, and Technical Services",Northland,2015,217,8/15/2019
"Professional, Scientific, and Technical Services",Northland,2016,225,5/19/2017
"Professional, Scientific, and Technical Services",Northland,2017,236,2/27/2018
Administrative and Support Services,Northland,2000,30,8/30/2018
Administrative and Support Services,Northland,2001,29,7/26/2017
Administrative and Support Services,Northland,2002,28,10/30/2019
Administrative and Support Services,Northland,2003,32,4/9/2018
Administrative and Support Services,Northland,2004,39,3/13/2019
Administrative and Support Services,Northland,2005,46,4/13/2018
Administrative and Support Services,Northland,2006,51,8/8/2017
Administrative and Support Services,Northland,2007,73,5/30/2017
Administrative and Support Services,Northland,2008,70,9/12/2019
Administrative and Support Services,Northland,2009,64,5/29/2019
Administrative and Support Services,Northland,2010,85,10/5/2017
Administrative and Support Services,Northland,2011,80,9/6/2018
Administrative and Support Services,Northland,2012,78,9/1/2016
Administrative and Support Services,Northland,2013,92,4/5/2018
Administrative and Support Services,Northland,2014,92,12/4/2018
Administrative and Support Services,Northland,2015,110,3/26/2018
Administrative and Support Services,Northland,2016,115,2/15/2019
Administrative and Support Services,Northland,2017,120,8/1/2019
Public Administration and Safety,Northland,2000,80,12/27/2019
Public Administration and Safety,Northland,2001,84,1/9/2018
Public Administration and Safety,Northland,2002,91,10/5/2017
Public Administration and Safety,Northland,2003,98,7/18/2018
Public Administration and Safety,Northland,2004,100,1/2/2018
Public Administration and Safety,Northland,2005,101,7/12/2019
Public Administration and Safety,Northland,2006,125,3/16/2017
Public Administration and Safety,Northland,2007,163,12/15/2016
Public Administration and Safety,Northland,2008,171,1/31/2018
Public Administration and Safety,Northland,2009,186,11/13/2019
Public Administration and Safety,Northland,2010,173,5/7/2019
Public Administration and Safety,Northland,2011,181,2/22/2018
Public Administration and Safety,Northland,2012,181,8/7/2018
Public Administration and Safety,Northland,2013,205,9/26/2019
Public Administration and Safety,Northland,2014,201,11/27/2018
Public Administration and Safety,Northland,2015,205,8/17/2017
Public Administration and Safety,Northland,2016,217,6/4/2019
Public Administration and Safety,Northland,2017,243,7/3/2018
Education and Training,Northland,2000,135,9/25/2018
Education and Training,Northland,2001,139,7/11/2017
Education and Training,Northland,2002,141,10/24/2018
Education and Training,Northland,2003,147,5/17/2018
Education and Training,Northland,2004,159,3/2/2018
Education and Training,Northland,2005,172,11/9/2017
Education and Training,Northland,2006,182,2/17/2017
Education and Training,Northland,2007,206,8/17/2018
Education and Training,Northland,2008,216,1/28/2019
Education and Training,Northland,2009,235,6/17/2017
Education and Training,Northland,2010,247,6/25/2018
Education and Training,Northland,2011,249,4/20/2018
Education and Training,Northland,2012,263,12/4/2019
Education and Training,Northland,2013,270,9/9/2019
Education and Training,Northland,2014,277,8/15/2018
Education and Training,Northland,2015,299,8/5/2019
Education and Training,Northland,2016,297,2/28/2018
Education and Training,Northland,2017,304,1/1/1900
Health Care and Social Assistance,Northland,2000,167,6/11/2019
Health Care and Social Assistance,Northland,2001,189,1/8/2019
Health Care and Social Assistance,Northland,2002,212,8/27/2018
Health Care and Social Assistance,Northland,2003,218,8/14/2018
Health Care and Social Assistance,Northland,2004,247,7/11/2018
Health Care and Social Assistance,Northland,2005,272,8/8/2017
Health Care and Social Assistance,Northland,2006,309,11/14/2019
Health Care and Social Assistance,Northland,2007,327,7/3/2019
Health Care and Social Assistance,Northland,2008,353,10/19/2017
Health Care and Social Assistance,Northland,2009,371,8/16/2017
Health Care and Social Assistance,Northland,2010,393,11/21/2017
Health Care and Social Assistance,Northland,2011,425,6/4/2016
Health Care and Social Assistance,Northland,2012,440,12/11/2018
Health Care and Social Assistance,Northland,2013,467,5/9/2017
Health Care and Social Assistance,Northland,2014,453,10/24/2019
Health Care and Social Assistance,Northland,2015,496,10/11/2016
Health Care and Social Assistance,Northland,2016,516,1/4/2019
Health Care and Social Assistance,Northland,2017,520,8/30/2018
Total All Industries,Northland,2000,2655,7/10/2019
Total All Industries,Northland,2001,2954,11/19/2019
Total All Industries,Northland,2002,3188,10/4/2016
Total All Industries,Northland,2003,3082,12/19/2018
Total All Industries,Northland,2004,3316,9/15/2018
Total All Industries,Northland,2005,3659,11/21/2017
Total All Industries,Northland,2006,3969,12/10/2019
Total All Industries,Northland,2007,4348,3/8/2018
Total All Industries,Northland,2008,4617,6/21/2019
Total All Industries,Northland,2009,4723,12/17/2019
Total All Industries,Northland,2010,4534,5/6/2019
Total All Industries,Northland,2011,4834,3/25/2019
Total All Industries,Northland,2012,4911,1/2/2018
Total All Industries,Northland,2013,4878,9/9/2019
Total All Industries,Northland,2014,5344,2/1/2018
Total All Industries,Northland,2015,5492,6/7/2019
Total All Industries,Northland,2016,5919,5/7/2019
Total All Industries,Northland,2017,6402,3/15/2017
"GST on Production, Import Duties and Other Taxes",Northland,2000,199,6/11/2018
"GST on Production, Import Duties and Other Taxes",Northland,2001,217,1/5/2017
"GST on Production, Import Duties and Other Taxes",Northland,2002,232,8/12/2016
"GST on Production, Import Duties and Other Taxes",Northland,2003,235,6/22/2016
"GST on Production, Import Duties and Other Taxes",Northland,2004,254,10/26/2016
"GST on Production, Import Duties and Other Taxes",Northland,2005,283,5/18/2018
"GST on Production, Import Duties and Other Taxes",Northland,2006,309,3/7/2018
"GST on Production, Import Duties and Other Taxes",Northland,2007,362,9/20/2017
"GST on Production, Import Duties and Other Taxes",Northland,2008,378,3/12/2019
"GST on Production, Import Duties and Other Taxes",Northland,2009,379,8/8/2017
"GST on Production, Import Duties and Other Taxes",Northland,2010,358,10/4/2019
"GST on Production, Import Duties and Other Taxes",Northland,2011,413,10/31/2019
"GST on Production, Import Duties and Other Taxes",Northland,2012,450,2/15/2018
"GST on Production, Import Duties and Other Taxes",Northland,2013,453,5/17/2018
"GST on Production, Import Duties and Other Taxes",Northland,2014,484,3/28/2019
"GST on Production, Import Duties and Other Taxes",Northland,2015,502,12/11/2019
"GST on Production, Import Duties and Other Taxes",Northland,2016,549,9/11/2017
"GST on Production, Import Duties and Other Taxes",Northland,2017,609,5/6/2019
Gross Domestic Product,Northland,2000,2854,10/23/2018
Gross Domestic Product,Northland,2001,3171,5/30/2019
Gross Domestic Product,Northland,2002,3420,12/23/2015
Gross Domestic Product,Northland,2003,3317,12/22/2016
Gross Domestic Product,Northland,2004,3570,12/22/2017
Gross Domestic Product,Northland,2005,3942,7/11/2016
Gross Domestic Product,Northland,2006,4278,1/5/2019
Gross Domestic Product,Northland,2007,4710,4/24/2019
Gross Domestic Product,Northland,2008,4994,8/9/2017
Gross Domestic Product,Northland,2009,5101,12/9/2019
Gross Domestic Product,Northland,2010,4892,8/11/2018
Gross Domestic Product,Northland,2011,5247,9/7/2019
Gross Domestic Product,Northland,2012,5361,10/10/2019
Gross Domestic Product,Northland,2013,5331,12/16/2019
Gross Domestic Product,Northland,2014,5827,9/7/2018
Gross Domestic Product,Northland,2015,5994,7/15/2019
Gross Domestic Product,Northland,2016,6468,7/19/2019
Gross Domestic Product,Northland,2017,7011,3/2/2018
Gross Domestic Product,Northland,2018,7415,9/4/2019
Agriculture,Auckland,2000,182,5/20/2019
Agriculture,Auckland,2001,216,6/4/2019
Agriculture,Auckland,2002,235,9/28/2018
Agriculture,Auckland,2003,170,3/30/2019
Agriculture,Auckland,2004,175,11/21/2019
Agriculture,Auckland,2005,165,2/15/2018
Agriculture,Auckland,2006,147,5/18/2017
Agriculture,Auckland,2007,165,5/7/2019
Agriculture,Auckland,2008,246,10/6/2016
Agriculture,Auckland,2009,178,2/23/2017
Agriculture,Auckland,2010,201,10/4/2017
Agriculture,Auckland,2011,246,8/2/2017
Agriculture,Auckland,2012,232,5/3/2019
Agriculture,Auckland,2013,217,10/22/2018
Agriculture,Auckland,2014,316,11/27/2017
Agriculture,Auckland,2015,213,6/25/2018
Agriculture,Auckland,2016,215,4/1/2019
Agriculture,Auckland,2017,318,10/4/2019
"Forestry, Fishing, and Mining",Auckland,2000,212,8/16/2019
"Forestry, Fishing, and Mining",Auckland,2001,197,3/26/2019
"Forestry, Fishing, and Mining",Auckland,2002,196,3/22/2017
"Forestry, Fishing, and Mining",Auckland,2003,213,1/10/2017
"Forestry, Fishing, and Mining",Auckland,2004,160,8/22/2018
"Forestry, Fishing, and Mining",Auckland,2005,165,9/12/2018
"Forestry, Fishing, and Mining",Auckland,2006,165,5/11/2018
"Forestry, Fishing, and Mining",Auckland,2007,181,2/20/2018
"Forestry, Fishing, and Mining",Auckland,2008,183,8/7/2017
"Forestry, Fishing, and Mining",Auckland,2009,172,4/11/2019
"Forestry, Fishing, and Mining",Auckland,2010,166,5/20/2019
"Forestry, Fishing, and Mining",Auckland,2011,178,3/1/2019
"Forestry, Fishing, and Mining",Auckland,2012,171,1/9/2017
"Forestry, Fishing, and Mining",Auckland,2013,201,6/14/2017
"Forestry, Fishing, and Mining",Auckland,2014,236,12/18/2017
"Forestry, Fishing, and Mining",Auckland,2015,245,10/11/2019
"Forestry, Fishing, and Mining",Auckland,2016,241,10/4/2019
"Forestry, Fishing, and Mining",Auckland,2017,302,2/22/2018
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Auckland,2000,996,5/7/2018
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Auckland,2001,979,12/26/2018
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Auckland,2002,1094,3/1/2018
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Auckland,2003,1156,4/21/2017
"Forestry, Fishing, Mining, Electricity, Gas, Water and Waste Services",Auckland,2004,1324,1/22/2019
